ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADIT_DC
KCOCFPO23N000000062,문화시설,왈츠 동물병원,서울특별시,영등포구,서울특별시 영등포구 가마산로 324 (대림동),서울특별시 영등포구 대림동 776-2,할인적용최소연령 : 65
KCOCFPO23N000000063,문화시설,대림 그랑프리 안경원,서울특별시,영등포구,서울특별시 영등포구 도림로 129 (대림동),서울특별시 영등포구 대림동 1050-13 상도빌딩,할인적용최소연령 : 65
KCOCFPO23N000000064,문화시설,이태리 안경원,서울특별시,영등포구,서울특별시 영등포구 도림로 207 (대림동),서울특별시 영등포구 대림동 751-28 백조빌딩,할인적용최소연령 : 65
KCOCFPO23N000000065,문화시설,대중이발관,서울특별시,영등포구,서울특별시 영등포구 대림로44길 5 (대림동),서울특별시 영등포구 대림동 651-4 방남빌딩,할인적용최소연령 : 65
KCOCFPO23N000000066,문화시설,CU 편의점,서울특별시,영등포구,서울특별시 영등포구 대림로 209 (대림동),서울특별시 영등포구 대림동 775-7,할인적용최소연령 : 65
KCOCFPO23N000000067,문화시설,㈜미래사랑라이프,서울특별시,영등포구,서울특별시 영등포구 가마산로31길 26-1 (대림동),서울특별시 영등포구 대림동 801-9,할인적용최소연령 : 65
KCOCFPO23N000000068,문화시설,다솜식당,서울특별시,영등포구,서울특별시 영등포구 가마산로 338 (대림동),서울특별시 영등포구 대림동 775-4 이현빌딩,할인적용최소연령 : 65
KCOCFPO23N000000069,문화시설,종로김밥,서울특별시,영등포구,서울특별시 영등포구 대림로 202 (대림동),서울특별시 영등포구 대림동 689 문화빌딩,할인적용최소연령 : 65
KCOCFPO23N000000070,문화시설,로즈미용실,서울특별시,영등포구,서울특별시 영등포구 도신로8길 16 (대림동),서울특별시 영등포구 대림동 605-40,할인적용최소연령 : 65
KCOCFPO23N000000071,문화시설,성심식당,서울특별시,영등포구,서울특별시 영등포구 대림로 242 (대림동),서울특별시 영등포구 대림동 664,할인적용최소연령 : 65
KCOCFPO23N000000072,문화시설,도경수제숯불갈비,서울특별시,영등포구,서울특별시 영등포구 대림로 173 (대림동),서울특별시 영등포구 대림동 720-3,할인적용최소연령 : 65
KCOCFPO23N000000073,문화시설,㈜씨랄라,서울특별시,영등포구,서울특별시 영등포구 문래로 164 (문래동3가),서울특별시 영등포구 문래동3가 55-16 영등포 SK 리더스뷰,할인적용최소연령 : 65
KCOCFPO23N000000074,문화시설,용진만물사,서울특별시,영등포구,서울특별시 영등포구 여의대방로43길 8 (신길동),서울특별시 영등포구 신길동 1058,할인적용최소연령 : 65
KCOCFPO23N000000075,문화시설,허브팜,서울특별시,영등포구,서울특별시 영등포구 여의대방로43길 8 (신길동),서울특별시 영등포구 신길동 1058,할인적용최소연령 : 65
KCOCFPO23N000000076,문화시설,중앙사,서울특별시,영등포구,서울특별시 영등포구 시흥대로 671 (대림동),서울특별시 영등포구 대림동 960-4,할인적용최소연령 : 65
KCOCFPO23N000000077,문화시설,제일 미 헤어,서울특별시,영등포구,서울특별시 영등포구 디지털로67길 4 (대림동),서울특별시 영등포구 대림동 881-8,할인적용최소연령 : 65
KCOCFPO23N000000078,문화시설,CM헤어 살롱,서울특별시,영등포구,서울특별시 영등포구 디지털로 461-2 (대림동),서울특별시 영등포구 대림동 909-18,할인적용최소연령 : 65
KCOCFPO23N000000079,문화시설,나리미용실,서울특별시,영등포구,서울특별시 영등포구 시흥대로183길 9 (대림동),서울특별시 영등포구 대림동 976-9,할인적용최소연령 : 65
KCOCFPO23N000000080,문화시설,댕기머리,서울특별시,영등포구,서울특별시 영등포구 신길로15길 18 (대림동),서울특별시 영등포구 대림동 906-59,할인적용최소연령 : 65
KCOCFPO23N000000082,문화시설,조복순헤어,서울특별시,영등포구,서울특별시 영등포구 디지털로57길 24 (대림동),서울특별시 영등포구 대림동 832-32,할인적용최소연령 : 65
KCOCFPO23N000000083,문화시설,남문떡집,서울특별시,영등포구,서울특별시 영등포구 디지털로37나길 4 (대림동),서울특별시 영등포구 대림동 1069-12,할인적용최소연령 : 65
KCOCFPO23N000000084,문화시설,종로떡집,서울특별시,영등포구,서울특별시 영등포구 디지털로53길 17 (대림동),서울특별시 영등포구 대림동 1036-14,할인적용최소연령 : 65
KCOCFPO23N000000085,문화시설,보광슈퍼,서울특별시,영등포구,서울특별시 영등포구 대림로23길 21 (대림동),서울특별시 영등포구 대림동 704 가온터,할인적용최소연령 : 65
KCOCFPO23N000000086,문화시설,뽀끌래짜를래,서울특별시,영등포구,서울특별시 영등포구 디지털로38길 9 (대림동),서울특별시 영등포구 대림동 1092-40,할인적용최소연령 : 65
KCOCFPO23N000000087,문화시설,아이니안경원,서울특별시,영등포구,서울특별시 영등포구 대림로19길 14 (대림동),서울특별시 영등포구 대림동 1036-3,할인적용최소연령 : 65
KCOCFPO23N000000088,문화시설,금강 보청기 영등포점,서울특별시,영등포구,서울특별시 영등포구 도림천로 367 (대림동),서울특별시 영등포구 대림동 1053-12 금창빌딩,할인적용최소연령 : 65
