ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR
KCOEFPO23N000000796,문화시설_교육_시니어,위너평생교육원,서울특별시,서초구,"서울특별시 서초구 서초대로74길 33 (서초동, 비트빌)",서울특별시 서초구 서초동 1327-33 비트빌
KCOEFPO23N000000800,문화시설_교육_시니어,굿누리평생교육원,서울특별시,구로구,서울특별시 구로구 디지털로32가길 46-5 (구로동),서울특별시 구로구 구로동 1129-77 대성빌딩
KCOEFPO23N000000801,문화시설_교육_시니어,글로벌평생교육원,서울특별시,중랑구,서울특별시 중랑구 봉우재로 129 (상봉동),서울특별시 중랑구 상봉동 106-22
KCOEFPO23N000000806,문화시설_교육_시니어,늘배움평생교육원,서울특별시,관악구,서울특별시 관악구 신림로 358-5 (신림동),서울특별시 관악구 신림동 1424-7
KCOEFPO23N000000814,문화시설_교육_시니어,삼육대평생교육원이야기방작은도서관,서울특별시,노원구,서울특별시 노원구 화랑로 815 (공릉동),서울특별시 노원구 공릉동 26-21 삼육대학교
KCOEFPO23N000000830,문화시설_교육_시니어,에스엘아이평생교육원,서울특별시,서초구,서울특별시 서초구 서초대로42길 12 (서초동),서울특별시 서초구 서초동 1542-5
KCOEFPO23N000000831,문화시설_교육_시니어,공릉평생교육원,서울특별시,노원구,"서울특별시 노원구 동일로 986 (공릉동, 노원 프레미어스 엠코)",서울특별시 노원구 공릉동 670-20 노원 프레미어스 엠코
KCOEFPO23N000000832,문화시설_교육_시니어,연구원부설평생교육원행정사사무소,서울특별시,구로구,서울특별시 구로구 남부순환로105길 14 (가리봉동),서울특별시 구로구 가리봉동 135-68 인화오벨리아
KCOEFPO23N000000834,문화시설_교육_시니어,원필라테스평생교육원,서울특별시,강서구,서울특별시 강서구 공항대로 271 (마곡동),서울특별시 강서구 마곡동 723-2 이천이프라자
KCOEFPO23N000000835,문화시설_교육_시니어,M7평생교육원,서울특별시,강서구,"서울특별시 강서구 마곡서로 133 (마곡동, 마곡엠밸리7단지)",서울특별시 강서구 마곡동 743-4 마곡엠밸리7단지
KCOEFPO23N000000844,문화시설_교육_시니어,위너평생교육원,서울특별시,송파구,서울특별시 송파구 법원로11길 7 (문정동),서울특별시 송파구 문정동 644-2 문정현대지식산업센터1-2
KCOEFPO23N000000845,문화시설_교육_시니어,송파CS평생교육원,서울특별시,송파구,서울특별시 송파구 백제고분로 420 (송파동),서울특별시 송파구 송파동 134-1
KCOEFPO23N000000848,문화시설_교육_시니어,서울메디필라테스평생교육원,서울특별시,영등포구,서울특별시 영등포구 여의대방로 375 (여의도동),서울특별시 영등포구 여의도동 44-37 아일렉스타워
KCOEFPO23N000000850,문화시설_교육_시니어,올에듀평생교육원소속멘토팀,서울특별시,구로구,서울특별시 구로구 디지털로33길 28 (구로동),서울특별시 구로구 구로동 170-5 우림이비지센터1차
KCOEFPO23N000000851,문화시설_교육_시니어,스마일스토리평생교육원,서울특별시,강서구,서울특별시 강서구 방화대로37길 49 (방화동),서울특별시 강서구 방화동 249-310
